"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"3683",149.800003,150.720001,146.149994,146.360001,86326000,145.746597
"3684",145.029999,148,144.5,146.699997,86960300,146.08519
"3685",147.440002,148.5,146.779999,148.190002,60549600,147.568939
"3686",148.309998,150.190002,147.889999,149.710007,60131800,149.082581
"3687",149.449997,150.860001,149.149994,149.619995,48606400,148.992935
"3688",149.809998,150.320007,147.800003,148.360001,58991300,147.738205
"3689",148.350006,149.119995,147.509995,147.539993,48597200,146.921661
"3690",147.479996,148.75,146.830002,148.600006,55802400,147.977219
"3691",149,153.490005,148.610001,153.119995,90956700,152.478256
"3692",152.660004,152.800003,151.289993,151.830002,86453100,151.19368
"3693",152.830002,154.979996,152.339996,152.509995,80313700,151.870819
"3694",153.869995,154.720001,152.399994,153.649994,71115500,153.006042
"3695",153.759995,154.630005,153.089996,154.300003,57808700,153.653336
"3696",154.970001,157.259995,154.389999,156.690002,82278300,156.033325
"3697",156.979996,157.039993,153.979996,155.110001,74420200,154.45993
"3698",155.490005,156.110001,153.949997,154.070007,57305700,153.424301
"3699",155,155.479996,148.699997,148.970001,140893200,148.345657
"3700",150.630005,151.419998,148.75,149.550003,102404300,148.923233
"3701",150.350006,151.070007,146.910004,148.119995,109296300,147.499207
"3702",148.559998,149.440002,146.369995,149.029999,83281300,148.405411
"3703",148.440002,148.970001,147.220001,148.789993,68034100,148.166397
"3704",148.820007,148.820007,145.759995,146.059998,129868800,145.447861
"3705",143.800003,144.839996,141.270004,142.940002,123478900,142.340927
"3706",143.929993,144.600006,142.779999,143.429993,75834000,142.828873
"3707",144.449997,146.429993,143.699997,145.850006,76404300,145.238739
"3708",146.649994,147.080002,145.639999,146.830002,64838200,146.21463
"3709",145.660004,147.470001,145.559998,146.919998,53477900,146.304245
"3710",145.470001,145.960007,143.820007,145.369995,74150700,144.760757
"3711",143.25,144.75,141.690002,141.910004,108972300,141.315262
"3712",142.470001,144.449997,142.029999,142.830002,74602000,142.2314
"3713",143.660004,144.380005,141.279999,141.5,89056700,140.906967
"3714",141.899994,142.919998,139.110001,142.649994,94639600,142.052139
"3715",141.759995,142.210007,138.270004,139.139999,98322000,138.556854
"3716",139.490005,142.240005,139.360001,141.110001,80861100,140.518616
"3717",139.470001,142.149994,138.369995,142,83221100,141.404877
"3718",143.059998,144.220001,142.720001,143.289993,61732700,142.689453
"3719",144.029999,144.179993,142.559998,142.899994,58773200,142.301086
"3720",142.270004,144.809998,141.809998,142.809998,64452200,142.211472
"3721",143.229996,143.25,141.039993,141.509995,73035900,140.916916
"3722",141.240005,141.399994,139.199997,140.910004,78762700,140.319443
"3723",142.110001,143.880005,141.509995,143.759995,69907100,143.157486
"3724",143.770004,144.899994,143.509995,144.839996,67940300,144.232971
"3725",143.449997,146.839996,143.160004,146.550003,85589200,145.935806
"3726",147.009995,149.169998,146.550003,148.759995,76378900,148.136536
"3727",148.699997,149.75,148.119995,149.259995,58418800,148.634445
